RA,Genero,Fase,Defasagem,Pedra,IAN,IDA,IEG,IAA,IPS,IPV,INDE,IPP,AnoRef
63,Masculino,5,-1,Topázio,5.0,8.7,9.1,8.3,8.8,9.417,8.282,8.75,2022
64,Masculino,5,-1,Ametista,5.0,7.5,8.1,7.1,8.1,8.25,7.368,7.40625,2022
64,Masculino,5,-1,Ametista,5.0,7.5,8.1,7.1,8.1,8.25,7.368,7.34375,2022
64,Masculino,5,-1,Ametista,5.0,7.5,8.1,7.1,8.1,8.25,7.368,8.4375,2022
65,Feminino,5,-2,Ametista,5.0,9.3,7.7,8.3,7.5,7.875,7.712,7.71875,2022
66,Feminino,5,-2,Quartzo,5.0,4.5,5.6,7.5,7.5,5.917,5.665,7.18125,2022
67,Feminino,5,-1,Quartzo,5.0,3.6,3.0,5.8,7.5,6.889,5.195,7.275,2022
68,Masculino,5,-1,Ágata,5.0,4.0,6.0,8.3,7.5,7.944,6.438,7.0520833332,2022
69,Masculino,5,-1,Quartzo,5.0,2.5,6.1,8.3,7.5,6.167,5.718,6.5104166666,2022
70,Feminino,5,-1,Quartzo,5.0,2.9,6.6,8.8,5.0,6.111,5.712,6.7,2022
70,Feminino,5,-1,Quartzo,5.0,2.9,6.6,8.8,5.0,6.111,5.712,7.5,2022
71,Feminino,5,-2,Quartzo,5.0,1.2,2.0,7.9,7.5,5.833,4.332,7.0375,2022
71,Feminino,5,-2,Quartzo,5.0,1.2,2.0,7.9,7.5,5.833,4.332,7.5,2022
72,Feminino,5,-2,Ametista,5.0,7.8,7.5,8.3,7.5,8.667,7.64,7.71875,2022
73,Feminino,5,-2,Quartzo,5.0,3.3,3.0,7.1,7.5,7.278,5.271,7.38125,2022
74,Masculino,5,-1,Quartzo,5.0,2.0,3.3,9.6,7.5,5.833,4.989,6.2333333334,2022
75,Feminino,5,-1,Quartzo,5.0,0.0,3.8,5.4,6.3,4.625,3.915,6.4583333334,2022
76,Feminino,5,0,Topázio,10.0,8.7,9.1,10.0,8.1,9.292,9.105,8.729166666600001,2022
76,Feminino,5,0,Topázio,10.0,8.7,9.1,10.0,8.1,9.292,9.105,7.5,2022
77,Masculino,5,-1,Quartzo,5.0,0.7,2.7,7.1,5.0,4.625,3.846,5.475,2022
78,Masculino,5,-2,Ametista,5.0,7.2,6.6,8.3,5.6,8.0,7.04,7.3125,2022
78,Masculino,5,-2,Ametista,5.0,7.2,6.6,8.3,5.6,8.0,7.04,8.28125,2022
78,Masculino,5,-2,Ametista,5.0,7.2,6.6,8.3,5.6,8.0,7.04,8.4375,2022
79,Feminino,5,-1,Ágata,5.0,8.9,6.3,5.4,5.6,7.292,6.847,7.3958333334,2022
79,Feminino,5,-1,Ágata,5.0,8.9,6.3,5.4,5.6,7.292,6.847,7.8125,2022
80,Feminino,5,-1,Ametista,5.0,7.1,8.3,9.2,5.0,7.625,7.29,7.65625,2022
80,Feminino,5,-1,Ametista,5.0,7.1,8.3,9.2,5.0,7.625,7.29,7.96875,2022
